height(cm),weight(kg),gender,size
154.94,64.41011654,Female,L
162.56,54.4310844,Female,S
172.72,66.67807839000001,Female,S
167.64000000000001,79.37866475,Female,XL
160.02,88.45051215000001,Female,L
170.18,81.6466266,Female,XL
165.1,74.84274105,Female,XL
167.64000000000001,76.20351816,Female,XL
149.86,53.523899660000005,Female,S
160.02,68.0388555,Female,XL
175.26,96.16158244,Female,XL
167.64000000000001,68.0388555,Female,XL
165.1,76.65711053,Female,XXL
167.64000000000001,71.66759446,Female,L
162.56,72.57477920000001,Female,XL
167.64000000000001,65.77089365,Female,M
165.1,62.142154690000005,Female,S
170.18,58.9670081,Female,S
167.64000000000001,72.57477920000001,Female,L
162.56,58.9670081,Female,S
152.4,78.01788764,Female,L
167.64000000000001,74.84274105,Female,XL
162.56,49.895160700000005,Female,S
167.64000000000001,68.0388555,Female,XL
165.1,68.0388555,Female,M
160.02,72.12118683,Female,XXL
142.24,48.534383590000004,Female,S
162.56,69.85322498000001,Female,XL
170.18,72.57477920000001,Female,XL
162.56,62.142154690000005,Female,M
160.02,65.77089365,Female,XL
167.64000000000001,70.30681735,Female,XL
175.26,70.30681735,Female,XL
167.64000000000001,83.91458845000001,Female,L
167.64000000000001,90.718474,Female,XL
165.1,60.781377580000004,Female,M
170.18,57.60623099,Female,L
154.94,54.4310844,Female,S
162.56,75.29633342000001,Female,XXL
160.02,79.37866475,Female,XL
165.1,81.6466266,Female,L
170.18,70.30681735,Female,L
165.1,74.38914868,Female,XL
162.56,73.93555631000001,Female,XXL
160.02,79.37866475,Female,L
167.64000000000001,77.1107029,Female,XXL
165.1,70.30681735,Female,M
162.56,69.39963261,Female,XL
172.72,65.77089365,Female,M
160.02,46.72001411,Female,XS
170.18,68.0388555,Female,XL
203.2,122.4699399,Female,3XL
172.72,88.90410452,Female,XL
162.56,74.84274105,Female,XXL
157.48,68.0388555,Female,XL
154.94,60.32778521,Female,M
165.1,58.05982336,Female,S
160.02,69.39963261,Female,XL
165.1,72.57477920000001,Female,XL
162.56,58.9670081,Female,M
177.8,70.76040972,Female,M
167.64000000000001,83.91458845000001,Female,XXL
165.1,61.23496995,Female,XL
162.56,82.55381134000001,Female,XXL
167.64000000000001,65.77089365,Female,L
167.64000000000001,70.30681735,Female,M
160.02,65.77089365,Female,M
160.02,57.152638620000005,Female,M
167.64000000000001,81.6466266,Female,XL
162.56,58.9670081,Female,S
154.94,63.502931800000006,Female,M
157.48,55.791861510000004,Female,S
162.56,59.874192840000006,Female,M
170.18,65.77089365,Female,M
154.94,68.0388555,Female,XXL
175.26,72.57477920000001,Female,L
157.48,68.0388555,Female,XL
167.64000000000001,68.0388555,Female,XXL
160.02,72.57477920000001,Female,XXL
167.64000000000001,68.0388555,Female,XL
